cadence,calories,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
22,12,90,2023-04-22 02:31:19,,604.08,3.454,3.0,22.5,61.0,83.5,50.5152579,-84.809392,9.5,93.5,3.454,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
50,12,100,2023-04-22 02:31:20,,607.45,3.148,3.0,24.0,60.0,89.0,50.5152401,-84.8093465,4.5,96.5,3.148,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
67,13,226,2023-04-22 02:31:21,,610.84,3.63,3.0,25.5,57.0,94.0,50.5152222,-84.8093017,0.0,100.0,3.63,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
74,13,284,2023-04-22 02:31:22,,614.85,3.951,3.0,26.0,54.0,94.0,50.515204,-84.8092474,18.0,92.5,3.951,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.26,2023,4,22,2,2.89,14.0
78,13,311,2023-04-22 02:31:23,,619.6,4.424,3.0,23.5,53.0,91.0,50.5151768,-84.8091925,24.5,94.5,4.424,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.41,2023,4,22,2,2.89,14.0
80,14,311,2023-04-22 02:31:24,,624.99,5.083,3.0,22.5,52.0,87.5,50.5151363,-84.8091379,25.5,93.5,5.083,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
83,14,277,2023-04-22 02:31:25,,630.94,5.674,3.0,23.0,52.0,84.5,50.5150906,-84.8090741,25.0,87.5,5.674,18.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
84,14,251,2023-04-22 02:31:26,,636.54,6.301,3.0,21.5,52.0,81.0,50.5150543,-84.8090109,25.0,87.5,6.301,17.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
85,14,198,2023-04-22 02:31:27,,643.88,6.344,3.0,20.0,50.0,76.0,50.5149948,-84.8089371,23.5,78.5,6.344,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
86,14,193,2023-04-22 02:31:28,,650.83,6.487,3.0,19.0,49.0,71.5,50.5149401,-84.8088642,23.0,76.0,6.487,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
76,14,175,2023-04-22 02:31:29,,657.67,6.319,3.0,16.0,37.0,62.0,50.5148946,-84.8087915,22.0,74.0,6.319,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
38,15,163,2023-04-22 02:31:30,,669.47,10.58,3.0,11.5,22.0,47.0,50.5148045,-84.8086741,19.5,69.5,10.58,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
