distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
591.95,8.536,2,50.5153858,-84.8055428,8.536,2022-08-23 21:06:18,30.399999999999977,2.0,,103.0,19.0,0.0,30.399999999999977,0.95,291.0,20.5,45.0,70.0,26.5,78.5,22.0,2022,8,23,21,2.12,172.0
600.85,8.823,2,50.5153247,-84.8054417,8.823,2022-08-23 21:06:19,30.399999999999977,2.0,,105.0,19.0,0.0,30.399999999999977,0.84,218.0,17.0,47.0,56.0,26.0,79.0,22.0,2022,8,23,21,2.12,172.0
610.26,9.594,2,50.5152596,-84.8053424,9.594,2022-08-23 21:06:20,30.399999999999977,2.0,,109.0,19.0,0.0,30.399999999999977,0.6,234.0,20.5,49.0,72.5,26.0,86.5,22.0,2022,8,23,21,2.12,172.0
619.8,9.454,2,50.5151886,-84.8052429,9.454,2022-08-23 21:06:21,30.200000000000045,2.0,,113.0,19.0,0.0,30.200000000000045,0.0,259.0,23.0,52.0,85.0,23.0,81.5,22.0,2022,8,23,21,2.12,172.0
629.74,9.664,2,50.5151183,-84.8051353,9.664,2022-08-23 21:06:22,30.0,2.0,,118.0,20.0,0.0,30.0,0.0,292.0,23.5,51.0,85.5,23.5,81.5,22.0,2022,8,23,21,2.12,172.0
639.54,9.887,2,50.515045,-84.8050282,9.887,2022-08-23 21:06:23,29.799999999999955,2.0,,115.0,20.0,0.0,29.799999999999955,-0.09,323.0,24.5,50.0,85.0,25.0,84.0,22.0,2022,8,23,21,2.12,172.0
649.66,9.917,2,50.5149705,-84.8049249,9.917,2022-08-23 21:06:24,29.399999999999977,2.0,,82.0,20.0,0.0,29.399999999999977,-0.47,331.0,26.0,49.0,88.5,24.5,86.5,22.0,2022,8,23,21,2.12,172.0
659.71,9.823,2,50.5148966,-84.8048232,9.823,2022-08-23 21:06:25,29.200000000000045,2.0,,49.0,20.0,1.0,29.200000000000045,-0.86,339.0,28.0,48.0,91.5,24.5,89.5,22.0,2022,8,23,21,2.12,172.0
669.53,9.722,2,50.5148234,-84.8047161,9.722,2022-08-23 21:06:26,29.0,2.0,,17.0,20.0,1.0,29.0,-1.19,346.0,28.0,48.0,91.0,22.0,80.5,22.0,2022,8,23,21,2.12,172.0
679.19,9.564,2,50.5147511,-84.8046141,9.564,2022-08-23 21:06:27,28.799999999999955,2.0,,0.0,20.0,1.0,28.799999999999955,-1.48,0.0,27.5,47.0,90.5,19.5,71.5,22.0,2022,8,23,21,2.12,172.0
688.42,9.236,2,50.5146819,-84.804521,9.236,2022-08-23 21:06:28,28.600000000000023,2.0,,0.0,20.0,1.0,28.600000000000023,-1.69,0.0,27.5,46.0,90.0,17.0,62.5,22.0,2022,8,23,21,2.12,172.0
697.18,8.866,2,50.5146195,-84.8044226,8.866,2022-08-23 21:06:29,28.399999999999977,2.0,,0.0,20.0,1.0,28.399999999999977,-1.85,0.0,27.0,46.0,89.5,14.5,53.5,22.0,2022,8,23,21,2.12,172.0
